UAI,Lat -WGS84,Lon – WGS84,,
0760726B,49,81375125,1,173467501
0760727C,49,52467841,0,544501443
0760728D,49,52358909,0,541239921
0760729E,49,51814316,0,533151789
0760730F,49,51814316,0,533151789
0760731G,49,52102572,0,532702653
0760733J,49,53534331,0,596351819
0760736M,49,52565292,0,56773774
0760740S,49,49228116,0,5619451
0760741T,49,4938517,0,563494008
0760743V,49,49307841,0,579962901
0760744W,49,4938517,0,563494008
0760745X,49,53346634,0,473477645
0760750C,49,54291921,0,55255004
0760751D,49,46253439,0,586335686
0760753F,49,52650361,0,545785861
0760754G,49,5037884,0,627815237
0760756J,49,7353482,1,442500589
0760762R,49,70709609,1,388091947
0760763S,49,79036808,1,477759632
0760764T,49,73305977,1,578422528
0760768X,49,69089883,1,400181911
0760769Y,49,77199441,1,492757682
0760771A,49,7652377,1,380994316
0760773C,49,70635598,1,504674183
0760778H,49,69520429,1,493107173
0760779J,49,763148,1,53055806
0760782M,49,48572363,0,131865538
0760788U,49,49883514,0,121170058
0760789V,49,50808736,0,166465427
0760791X,49,51750359,0,96514575
0760793Z,49,5206471,0,79493242
0760795B,49,50800022,0,147375969
0760809S,49,51454388,0,170370461
0760810T,49,4881537,0,144469418
0760812V,49,50575027,0,105091737
0760814X,49,48960405,0,115526812
0760815Y,49,50973506,0,135975405
0760817A,49,50808489,0,166167259
0760819C,49,51758272,0,96289089
0760820D,49,50800022,0,147375969
0760828M,49,49700868,0,99714306
0760831R,49,49591093,0,107291657
0760833T,49,49995473,0,128710287
0760837X,49,51454388,0,170370461
0760842C,49,50482375,0,103013055
0760843D,49,48811083,0,144520117
0760846G,49,87284691,1,46647704
0760847H,49,85755418,1,1838831
0760848J,49,88242061,1,126741635
0760851M,49,85247915,1,121897471
0760852N,49,86519663,0,889867353
0760856T,49,90518564,1,54514989
0760857U,49,90408327,1,53455153
0760860X,49,86436498,1,154482038
0760863A,49,87367803,0,95908255
0760864B,49,89663897,0,917684462
0760867E,49,87121416,1,69373502
0760868F,49,89336575,1,74670597
0760869G,49,90988664,0,946856002
0760870H,49,85683038,1,68840348
0760877R,49,97253497,1,446367114
0760878S,49,45381498,1,47699678
0760880U,49,48640758,0,995521224
0760881V,49,55790802,0,185249256
0760885Z,49,69630367,0,660791313
0760887B,49,71355643,0,618308375
0760891F,49,76111048,0,751649487
0760892G,49,69557768,0,69562879
0760897M,49,69296536,0,619277166
0760901S,49,53282206,0,961420758
0760904V,49,54124266,0,956696208
0760909A,49,550793,0,792627401
0760910B,49,56745657,0,829265575
0760911C,49,56215375,0,893316836
0760917J,49,61582543,0,82246744
