;;;;Demandes d'interventions;;;;;;;
;;;;;2015-2016;;;;;;
;;;;;;;;;;;
Date;Ville;Etablissement;Classe;Nb élève;Plaideur;Thème;Horaire;Matériel;Genre;Contact;Remarques
03/12/2015;PETIT-COURONNE;ECOLE ELEMENTAIRE LOUISE MICHEL;Elémentaire-CE1-CE2;23;Cécile;Santé - Eau;Matin;Vidéo disponible - TBI;Mme;Elheni;vérifier dispo matos si en //
12/01/2016;PETIT-COURONNE;ECOLE ELEMENTAIRE LOUISE MICHEL;Elémentaire-CM2;25;Cath.-Guest;Droits - Travail des enfants;Matin;Vidéo disponible - TBI;Mme;Elheni;vérifier dispo matos si en //
;SAINT-ETIENNE-DU-ROUVRAY;ECOLE ELEMENTAIRE IRENE JOLIOT-CURIE II;Elémentaire-CM1;28;Cécile;Droits - Education;;Vidéo disponible - TBI;Mme;Kristina Samardzija;
22/01/2016;LE HAVRE;ECOLE ELEMENTAIRE LOUISE MICHEL;Elémentaire-CE1;;Isabelle;Droits - CIDE;;;Mme;Caroline Lefebvre;
22/01/2016;LE HAVRE;ECOLE ELEMENTAIRE LOUISE MICHEL;Elémentaire-CP-CE1;;Isabelle;Santé - Eau;;;Mme;Caroline Lefebvre;Semaine dédiée (5 classes)
17/11/2015;LE HAVRE;ECOLE ELEMENTAIRE FRANCOIS RASPAIL;Elémentaire-CM1;29;Cath.-Guest;Droits - CIDE;;Audio-Vidéo disponible;Mme;Renaux;vérifier dispo matos si en //
02/02/2016;CAUDEBEC-LES-ELBEUF;ECOLE ELEMENTAIRE ANTOINE DE SAINT-EXUPERY;Elémentaire-CM2;34;Isabelle;Droits - CIDE;;Vidéo disponible - TBI;Mme;Sandrine Vertre;
20/11/2015;MESNIL-PANNEVILLE;ECOLE ELEMENTAIRE NORBERT HEDOUIN;Elémentaire-CM1-CM2;19;Cath.-Guest;Droits - Travail des enfants;;Non disponible;Mme;Cécile Edde;vérifier dispo matos si en //
23/02/2016;CROIX-MARE;ECOLE ELEMENTAIRE JACQUES PREVERT;Elémentaire-CP;20;Cath.-Guest;Droits - CIDE;;Audio-Vidéo disponible;Mme;Job;vérifier dispo matos si en //
23/02/2016;CROIX-MARE;ECOLE ELEMENTAIRE JACQUES PREVERT;Elémentaire-CE1-CE2;26;Cath.-Guest;Droits - CIDE;;Audio-Vidéo disponible;Mme;Job;vérifier dispo matos si en //
23/02/2016;CROIX-MARE;ECOLE ELEMENTAIRE JACQUES PREVERT;Elémentaire-CM1-CM2;20;Jean-Pierre;Droits - CIDE;;Audio-Vidéo disponible;Mme;Job;vérifier dispo matos si en //
20/11/2015;MESNIL-PANNEVILLE;ECOLE ELEMENTAIRE NORBERT HEDOUIN;Elémentaire-CP-CE1;20;Cath.-Guest;Droits - Education;matin;Non disponible;Mme;Cécile Edde;vérifier dispo matos si en //
05/02/2016;HENOUVILLE;ECOLE ELEMENTAIRE JEAN FERRAT;Elémentaire-CM1-CM2;26;Jean-Pierre;Droits - CIDE;;Audio-Vidéo disponible;Mme;Besnier;PROCHE VAUPALIERE
04/03/2016;SOTTEVILLE-LES-ROUEN;ECOLE ELEMENTAIRE JEAN JAURES;Elémentaire-CM2;27;Jean-Pierre;Droits - CIDE;;Non disponible;Mme;Razzok Nadia;attention matos si //
04/03/2016;SOTTEVILLE-LES-ROUEN;ECOLE ELEMENTAIRE JEAN JAURES;Elémentaire-CM2;27;Jean-Pierre;Droits - CIDE;;Non disponible;Mme;Razzok Nadia;attention matos si //
02/02/2016;CAUDEBEC-LES-ELBEUF;ECOLE ELEMENTAIRE MADAME DE SEVIGNE;Elémentaire-CM1;;Isabelle;Droits - CIDE;;;Mme;Diebold Solène;
;BACQUEVILLE-EN-CAUX;ECOLE ELEMENTAIRE BACQUEVILLE-PIERVILLE;Elémentaire-CP-CE1;23;Monique;Droits - CIDE;;Audio-Vidéo disponible;Mme;Motais Anne;
10/11/2015;SAINT-ETIENNE-DU-ROUVRAY;ECOLE ELEMENTAIRE PAUL LANGEVIN;Elémentaire-CM1;23;Isabelle;Droits - CIDE;;;Mme;Thorel Cécile;
11/03/2016;SAINT-NICOLAS-DE-BLIQUETUIT;ECOLE ELEMENTAIRE DE LA MARE JOUENNE;Elémentaire-CE2;23;Cath.-Guest;Santé - Eau;;Vidéo disponible - TBI;;Labarre;attention matos si //
11/03/2016;SAINT-NICOLAS-DE-BLIQUETUIT;ECOLE ELEMENTAIRE DE LA MARE JOUENNE;Elémentaire-CM1;29;Cath.-Guest;Droits - CIDE;;Vidéo disponible - TBI;;Labarre;attention matos si //
;SAINT-NICOLAS-DE-BLIQUETUIT;ECOLE ELEMENTAIRE DE LA MARE JOUENNE;Elémentaire-CM2;27;Cath.-Guest;Droits - Travail des enfants;;Vidéo disponible - TBI;;Labarre;attention matos si //
21/04/2016;BARENTIN;ECOLE ELEMENTAIRE MARCEL DUPRE;Elémentaire-CE1-CE2;23;Cath.-Guest;Droits - CIDE;;Vidéo disponible - TBI;M;Remoussin Stéphane;attention matos si //
21/04/2016;BARENTIN;ECOLE ELEMENTAIRE MARCEL DUPRE;Elémentaire-CE2;27;Cath.-Guest;Droits - CIDE;;Vidéo disponible - TBI;M;Remoussin Stéphane;attention matos si //
21/04/2016;BARENTIN;ECOLE ELEMENTAIRE MARCEL DUPRE;Elémentaire-CE2-CM1;22;Cath.-Guest;Droits - CIDE;;Vidéo disponible - TBI;M;Remoussin Stéphane;attention matos si //
21/04/2016;BARENTIN;ECOLE ELEMENTAIRE MARCEL DUPRE;Elémentaire-CM1;27;Jean-Pierre;Droits - CIDE;;Vidéo disponible - TBI;M;Remoussin Stéphane;attention matos si //
21/04/2016;BARENTIN;ECOLE ELEMENTAIRE MARCEL DUPRE;Elémentaire-CM1;28;Jean-Pierre;Droits - CIDE;;Vidéo disponible - TBI;M;Remoussin Stéphane;attention matos si //
21/04/2016;BARENTIN;ECOLE ELEMENTAIRE MARCEL DUPRE;Elémentaire-CM2;23;Jean-Pierre;Droits - CIDE;;Vidéo disponible - TBI;M;Remoussin Stéphane;attention matos si //
21/04/2016;BARENTIN;ECOLE ELEMENTAIRE MARCEL DUPRE;Elémentaire-CM2;24;Jean-Pierre;Droits - CIDE;;Vidéo disponible - TBI;M;Remoussin Stéphane;attention matos si //
;LE HAVRE;ECOLE ELEMENTAIRE EUGENE VARLIN I;Elémentaire-CE1;18;Autre;Droits - Education;;Audio-Vidéo disponible;Mme;Lecoq Virgine;
;LE HAVRE;ECOLE ELEMENTAIRE EUGENE VARLIN I;Elémentaire-CE1;19;Autre;Droits - CIDE;;Audio-Vidéo disponible;Mme;Goascoz Anne-Sophie;date non en //
;LE HAVRE;ECOLE ELEMENTAIRE EUGENE VARLIN I;Elémentaire-CE1;18;Autre;Droits - Education;;Audio-Vidéo disponible;Mme;Ternon;
29/04/2016;MELLEVILLE;<Sans nom> - ELEMENTAIRE;Elémentaire-CP-CE1;19;Cécile;Santé - Eau;Matin;Audio-Vidéo disponible;Mme;Pois;
;LE HAVRE;ECOLE ELEMENTAIRE PAUL BERT I;Elémentaire-CE2;23;;Droits - CIDE;;Audio-Vidéo disponible;Mme;Aubin;STEPHANIE AVRIL MAI
18/03/2016;ROUEN;ECOLE ELEMENTAIRE MARTHE CORNEILLE;Elémentaire-CP;;Cécile;Santé - Eau;;;Mme;Annie Sandoz-Lafosse;CP-CE1-CE2 a privilégier
18/03/2016;ROUEN;ECOLE ELEMENTAIRE MARTHE CORNEILLE;Elémentaire-CE1;;Cécile;Santé - Eau;;;Mme;Annie Sandoz-Lafosse;attention matos si //
18/03/2016;ROUEN;ECOLE ELEMENTAIRE MARTHE CORNEILLE;Elémentaire-CE2;;Cécile;Santé - Eau;;;Mme;Annie Sandoz-Lafosse;attention matos si //
18/03/2016;ROUEN;ECOLE ELEMENTAIRE MARTHE CORNEILLE;Elémentaire-CM1;;Cécile;Santé - Eau;;;Mme;Annie Sandoz-Lafosse;attention matos si //
18/03/2016;ROUEN;ECOLE ELEMENTAIRE MARTHE CORNEILLE;Elémentaire-CM2;;Cécile;Santé - Eau;;;Mme;Annie Sandoz-Lafosse;attention matos si //
07/01/2016;NOTRE-DAME-DE-BONDEVILLE;ECOLE ELEMENTAIRE VICTOR HUGO;Elémentaire-CP-CE1;20;Cath.-Guest;Droits - CIDE;Matin;Vidéo disponible - TBI;Mme;Malonga;
07/01/2016;NOTRE-DAME-DE-BONDEVILLE;ECOLE ELEMENTAIRE VICTOR HUGO;Elémentaire-CE1-CE2;18;Cath.-Guest;Droits - CIDE;Matin;Vidéo disponible - TBI;Mme;Malonga;
07/01/2016;NOTRE-DAME-DE-BONDEVILLE;ECOLE ELEMENTAIRE VICTOR HUGO;Elémentaire-CE1-CE2;20;Cath.-Guest;Droits - CIDE;Matin;Vidéo disponible - TBI;Mme;Malonga;
07/01/2016;NOTRE-DAME-DE-BONDEVILLE;ECOLE ELEMENTAIRE VICTOR HUGO;Elémentaire-CM1-CM2;;Cécile;Droits - CIDE;Matin;Vidéo disponible - TBI;Mme;Malonga;
07/01/2016;NOTRE-DAME-DE-BONDEVILLE;ECOLE ELEMENTAIRE VICTOR HUGO;Elémentaire-CM1-CM2;;Cécile;Droits - CIDE;Matin;Vidéo disponible - TBI;Mme;Malonga;
07/01/2016;NOTRE-DAME-DE-BONDEVILLE;ECOLE ELEMENTAIRE VICTOR HUGO;Elémentaire-CP-CE1;20;Cath.-Guest;Droits - CIDE;Matin;Vidéo disponible - TBI;Mme;Malonga;
26/11/2015;PREAUX;ECOLE ELEMENTAIRE JACQUES PREVERT;Elémentaire-CM2;22;Cath.-Guest;Droits - Travail des enfants;;Vidéo disponible - TBI;Mme;Quardel;
11/03/2016;BONSECOURS;ECOLE ELEMENTAIRE JOSE MARIA DE HEREDIA;Elémentaire-CE1;25;Jean-Pierre;Droits - CIDE;;Vidéo disponible - TBI;Mme;Cailliatte;
;LE HAVRE;ECOLE ELEMENTAIRE PAUL BERT II;Elémentaire-CE2;23;;Droits - CIDE;;Audio-Vidéo disponible;Mme;Dutot;STEPHANIE EN AVRIL MAI
08/12/2015;MALAUNAY;ECOLE ELEMENTAIRE OLIVIER MIANNAY;Elémentaire-CE2-CM1;23;Cath.-Guest;Droits - Education;Matin;Audio-Vidéo disponible;Mme;Leatitia Barbey;
08/12/2015;MALAUNAY;ECOLE ELEMENTAIRE OLIVIER MIANNAY;Elémentaire-CM1-CM2;27;Cath.-Guest;Droits - Education;Matin;Audio-Vidéo disponible;Mme;Leatitia Barbey;
08/12/2015;MALAUNAY;ECOLE ELEMENTAIRE GEORGES BRASSENS;Elémentaire-CM1-CM2;29;Cath.-Guest;Droits - Education;Matin;Audio-Vidéo disponible;Mme;Leatitia Barbey;
08/12/2015;MALAUNAY;ECOLE ELEMENTAIRE GEORGES BRASSENS;Elémentaire-CM1-CM2;22;Cath.-Guest;Droits - Education;Matin;Audio-Vidéo disponible;Mme;Leatitia Barbey;
;LE HAVRE;ECOLE ELEMENTAIRE FREDERIC BELLANGER;Elémentaire-CM2;26;Autre;Droits - Travail des enfants;;Audio-Vidéo disponible;;Agoutin-Langlois;STEPHANIE
26/04/2016;TOUFFREVILLE-LA-CORBELINE;ECOLE ELEMENTAIRE RENE ET HENRY BOSSIERE;Elémentaire-CP;23;Cath.-Guest;Santé - Eau;;Audio-Vidéo disponible;Mme;Ridel;attention matos si //
26/04/2016;TOUFFREVILLE-LA-CORBELINE;ECOLE ELEMENTAIRE RENE ET HENRY BOSSIERE;Elémentaire-CE1-CE2;17;Cath.-Guest;Santé - Eau;;Audio-Vidéo disponible;Mme;Ridel;attention matos si //
;LA MAILLERAYE-SUR-SEINE;ECOLE ELEMENTAIRE LOUIS BIGNON;Elémentaire-CP;24;Autre;Droits - CIDE;;Vidéo disponible - TBI;Mme;Wattiez;attention matos si //
;LA MAILLERAYE-SUR-SEINE;ECOLE ELEMENTAIRE LOUIS BIGNON;Elémentaire-CE1;27;Autre;Droits - CIDE;;Vidéo disponible - TBI;Mme;Wattiez;attention matos si //
;LA MAILLERAYE-SUR-SEINE;ECOLE ELEMENTAIRE LOUIS BIGNON;Elémentaire-CE2;25;Autre;Droits - CIDE;;Vidéo disponible - TBI;Mme;Wattiez;attention matos si //
;LA MAILLERAYE-SUR-SEINE;ECOLE ELEMENTAIRE LOUIS BIGNON;Elémentaire-CLIS;12;Autre;Droits - CIDE;;Vidéo disponible - TBI;Mme;Wattiez;attention matos si //
13/06/2016;LE HOULME;ECOLE ELEMENTAIRE PREVERT-ARAGON;Elémentaire-CE2;;Cath.-Guest;Santé - Eau;Matin;Audio-Vidéo disponible;Mme;Bellot;
13/06/2016;LE HOULME;ECOLE ELEMENTAIRE PREVERT-ARAGON;Elémentaire-CE2;;Cath.-Guest;Santé - Eau;Après-midi;Audio-Vidéo disponible;Mme;Bellot;
03/11/2015;LE TRAIT;ECOLE ELEMENTAIRE PIERRE ET MARIE CURIE;Elémentaire-CM2;23;Cath.-Leroy;Droits - Harcèlement-Violence;Matin;Audio-Vidéo disponible;Mme;Trolle;Canope - MT ST Aignan
03/11/2015;SOTTEVILLE-LES-ROUEN;ECOLE ELEMENTAIRE JEAN ROSTAND;Elémentaire-CM1;27;Cath.-Guest;Droits - Harcèlement-Violence;Après-midi;Audio-Vidéo disponible;Mme; Elise Martin-Lucas;Canope - MT ST Aignan
05/11/2015;SAINT-ETIENNE-DU-ROUVRAY;ECOLE ELEMENTAIRE LOUIS PERGAUD;Elémentaire-CE1;;Isabelle;Droits - Discriminations;Matin;Audio-Vidéo disponible;Mme;Manuella Ozanne;Canope - MT ST Aignan
05/11/2015;MONT-SAINT-AIGNAN;ECOLE ELEMENTAIRE ANTOINE DE SAINT-EXUPERY;Elémentaire-CM2;;Jean-Pierre;Droits - Discriminations;Après-midi;Audio-Vidéo disponible;Mme;Dehornois;Canope - MT ST Aignan
06/11/2015;ROUEN;ECOLE ELEMENTAIRE CAVELIER DE LA SALLE;Elémentaire-CM1-CM2;;Cécile;Droits - Harcèlement-Violence;Matin;Audio-Vidéo disponible;Mme; Antonini ou Mme Kob;Canope - MT ST Aignan
06/11/2015;LE HOULME;ECOLE ELEMENTAIRE PREVERT-ARAGON;Elémentaire-CP-CE1;26;Cath.-Guest;Droits - Discriminations;Après-midi;Audio-Vidéo disponible;Mme;Virginie Altaras Thébault;Canope - MT ST Aignan
15/10/2015;ROUEN;COLLEGE JEAN-BAPTISTE DE LA SALLE;Collège-4ème;21;Cath.-Guest;Droits - CIDE;Après-midi;Audio-Vidéo disponible;Mme;Colombel;Journée du partage
15/10/2015;ROUEN;COLLEGE JEAN-BAPTISTE DE LA SALLE;Collège-5ème;24;Cath.-Guest;Droits - CIDE;Après-midi;Audio-Vidéo disponible;Mme;Colombel;Journée du partage
03/03/2016;LE HAVRE;ECOLE ELEMENTAIRE THEOPHILE GAUTHIER;Elémentaire-CE1;;Cath.-Guest;Droits - CIDE;Après-midi;Audio-Vidéo disponible;Mme;Canchel;
03/11/2015;PETIT-COURONNE;ECOLE ELEMENTAIRE GUY DE MAUPASSANT;Elémentaire-CM2;;Isabelle;Droits - CIDE;Après-midi;Audio-Vidéo disponible;Mme;Cailly;
;PETIT-COURONNE;ECOLE ELEMENTAIRE GUY DE MAUPASSANT;Elémentaire-CE2;;Isabelle;Droits - CIDE;;;;;et Frimousse
02/10/2015;CAUDEBEC-EN-CAUX;COLLEGE VICTOR HUGO;Collège-4ème;25;Isabelle;Droits - Travail des enfants;Après-midi;Audio-Vidéo disponible;Mme;paola guyomar+Mme More;développement durable
22/01/2016;LE HAVRE;ECOLE ELEMENTAIRE MARECHAL JOFFRE;Elémentaire-CE1-CE2;;Jean-Pierre;Droits - CIDE;Matin;;Mme;linda Valcin;
22/01/2016;LE HAVRE;ECOLE ELEMENTAIRE MARECHAL JOFFRE;Elémentaire-CM1-CM2;;Isabelle;Droits - CIDE;Après-midi;;;berenice pichat;
22/01/2016;LE HAVRE;ECOLE ELEMENTAIRE FLAVIGNY;Elémentaire-CE2-CM1;;Isabelle;Droits - CIDE;;;;;
;GONFREVILLE-L ORCHER;COLLEGE GUSTAVE COURBET;Collège-4ème;;Isabelle;Droits - CIDE;;;Mme;Desrivières;et Travail
10/03/2016;LE HAVRE;COLLEGE JACQUES MONOD;Collège-5ème;;Isabelle;Droits - Discriminations;;;Mme;Laetitia Pontillon;
;PAVILLY;ECOLE ELEMENTAIRE PIERRE ET MARIE CURIE;Elémentaire-CP;26;Cath.-Leroy;Santé - Eau;;;Mme;Degremont;
;ETOUTTEVILLE;ECOLE ELEMENTAIRE JOSETTE ET CLAUDE BOYER;Elémentaire-CM1;;Monique;Droits - CIDE;;;Mme;Potel;et Frimousse
10/03/2016;SAINT-ANTOINE-LA-FORÊT;ECOLE ELEMENTAIRE MAURICE LEBLANC;Elémentaire-CM2;26;Isabelle;Droits - Travail des enfants;;;;;
10/03/2016;SAINT-ANTOINE-LA-FORÊT;ECOLE ELEMENTAIRE MAURICE LEBLANC;Elémentaire-CE2;26;Isabelle;Santé;;;;;
10/03/2016;SAINT-ANTOINE-LA-FORÊT;ECOLE ELEMENTAIRE MAURICE LEBLANC;Elémentaire-CM2;26;Cath.-Leroy;Droits - Discriminations;Matin;;M;;
10/03/2016;SAINT-ANTOINE-LA-FORÊT;ECOLE ELEMENTAIRE MAURICE LEBLANC;Elémentaire-CE2-CM1;25;Cath.-Leroy;Droits - Education;;;Mme;Ruiz;
;PAVILLY;ECOLE ELEMENTAIRE PIERRE ET MARIE CURIE;Elémentaire-CP;25;Cath.-Leroy;;;;;;
17/03/2016;PREAUX;ECOLE ELEMENTAIRE JACQUES PREVERT;Elémentaire-CM1;23;Cath.-Guest;Droits - Travail des enfants;;Vidéo disponible - TBI;Mme;Quardel;
02/02/2016;LE GRAND-QUEVILLY;ECOLE ELEMENTAIRE HENRI RIBIERE;Elémentaire-CE2;;Cath.-Guest;Droits - CIDE;Matin;Audio-Vidéo disponible;Mme;Boucher-Lebugle;Tél. : 02.35.67.83.10
11/01/2016;LA NEUVILLE-CHANT-D OISEL;ECOLE ELEMENTAIRE GEORGES BRASSENS;Elémentaire-CM1-CM2;25;Isabelle;Droits - Enfants soldats;après-midi;;Mme;sechet;
14/01/2016;GRAND-COURONNE;ECOLE ELEMENTAIRE PIERRE BROSSOLETTE;Elémentaire-CM1-CM2;26;Isabelle;Droits - Travail des enfants;Matin;;Mme;beaucher;
31/03/2016;BELLENCOMBRE;ECOLE ELEMENTAIRE DAVID DOUILLET;Elémentaire-CM1-CM2;23;Isabelle;Droits - Education;Matin;;Mme;gendron;
12/05/2016;LE GRAND-QUEVILLY;ECOLE ELEMENTAIRE MARYSE BASTIE;Elémentaire-CP;25;Isabelle;Santé - Eau;après-midi;;mme;;
